ConfigName;Version;Order;Table;Field;ReportableName;FieldType
DEFAULT;1;1;;'CONTRACT_QUOTE.CONTRACT_QUOTE_ID';ContractID;H
DEFAULT;1;2;factResult;Customer;Klant;H
DEFAULT;1;3;factResult;Project;Project;R
DEFAULT;1;4;;'PROJECT.OWNER_LOCATION';VerantwoordelijkLabo;H
DEFAULT;1;5;;'PROJECT.GROUP_NAME';LaboLimsGroep;H
DEFAULT;1;6;dimSample;LIMSSampleNumber;LimsStaalNummer;H
DEFAULT;1;7;dimSample;FieldSampleID;ExternSampleID;R
DEFAULT;1;8;dimSample;LabSampleID;LaboCode;R
DEFAULT;1;9;;'SAMPLE.ORIGINAL_SAMPLE';OrigineelStaal;R
DEFAULT;1;10;;'SAMPLE.PRODUCT';SampleProduct;H
DEFAULT;1;11;dimSample;MatrixDetail;ProductGrade;R
DEFAULT;1;12;dimSample;SamplingPoint;SamplingPoint;H
DEFAULT;1;13;;'SAMPLE.C_SAMPLE_MATRIX';Matrix;R
DEFAULT;1;14;dimSample;FieldSamplingDate;Monsternamedatum;R
DEFAULT;1;15;dimSample;FieldObserver;Monsternemer;R
DEFAULT;1;16;;'SAMPLE.C_CONDITION';Toestand;H
DEFAULT;1;17;dimSample;SamplePreparation;VoorbehandelingExtern;R
DEFAULT;1;18;dimSample;FieldSampleRemark;Opmerking;R
DEFAULT;1;19;factResult;LimsAnalysisName;LimsAnalysenaam;H
DEFAULT;1;20;dimAnalysis;AnalysisVersion;LimsAnalyseVersie;H
DEFAULT;1;21;dimAnalysis;SAPcode;SapCode;R
DEFAULT;1;22;dimAnalysis;AnalysisLabName;AnalyseNaam;R
DEFAULT;1;23;factResult;Component;Component;R
DEFAULT;1;24;factResult;IsReportable;Gerapporteerd;H
DEFAULT;1;25;;'TEST.REPLICATE_COUNT';TestReplicaat;H
DEFAULT;1;26;factResult;ResultReplicate;ResultaatReplicaat;H
DEFAULT;1;27;factResult;Instrument;Instrument;R
DEFAULT;1;28;;'TEST.BATCH';Batch;H
DEFAULT;1;29;factResult;Result;WaardeRuw;R
DEFAULT;1;30;factResult;ResultFormatted;WaardeGeformatteerd;R
DEFAULT;1;31;factResult;LimsUnit;Eenheid;R
DEFAULT;1;32;factResult;IsInSpec;BinnenSpecs;H
DEFAULT;1;33;factResult;IsBelowLOQ;BenedenLOQ;R
DEFAULT;1;34;factResult;IsAboveLOQ;BovenMaxLOQ;H
DEFAULT;1;35;;'RESULT.RESULT_TYPE';ResultaatType;H
DEFAULT;1;36;factResult;ResultFormattedNumeric;NumeriekeWaarde;R
DEFAULT;1;37;factResult;ResultNumeric;NumeriekeRuweWaarde;R
DEFAULT;1;38;;'SAMPLE.C_VISUAL_MATRIX';VisueleMatrix;R
DEFAULT;1;39;;'SAMPLE.C_PLATE_MAIN';Plaat;R
DEFAULT;1;40;;'SAMPLE.C_PLATE_MAIN_POS';PlaatPositie;H
DEFAULT;1;41;;'SAMPLE.C_ARCHIVE_SAMPLE';Archiefstaal;H
DEFAULT;1;42;dimSample;SampleLambertX;Xcoord;H
DEFAULT;1;43;dimSample;SampleLambertY;Ycoord;H
DEFAULT;1;44;dimSample;SampleDepth;Diepte;H
DEFAULT;1;45;dimSample;SampleToponym;Toponiem;H
